Question,Intent
I want to know How is B.Tech fees at NIET?,fees
What are the subjects in mess?,hostel
I want to know How is Artificial Intelligence at NIET?,ai_courses
Please What is MBA fees?,fees
Please Give details about sports facilities,infrastructure
Can you please Career opportunities in placement training,placement
Eligibility for CS branch?,cse_courses
Career opportunities in placement training,placement
I want to know Can I apply for campus?,infrastructure
Please What is CS branch?,cse_courses
Please What courses are offered in medical facilities?,infrastructure
Can you please Eligibility for campus?,infrastructure
Can you please What are the subjects in MBA fees?,fees
Is hostel fees free for students?,hostel
Can you please What is the syllabus for admission process?,admissions
Kindly Tell me about girls hostel,hostel
Please Career opportunities in tuition fee,fees
What courses are offered in Computer Science Engineering?,cse_courses
Kindly Is mess free for students?,hostel
Can you please What is companies?,placement
Please Is hostel fees free for students?,hostel
I want to know Provide some information on Mechanical department,mechanical_courses
I want to know Does hostel provide tuition fee?,fees
What courses are offered in CSE?,cse_courses
Can you please What are the features of medical facilities?,infrastructure
I want to know Give details about tuition fee,fees
Does hostel provide boys hostel?,hostel
I want to know Does NIET have college fees?,fees
How is the gym at NIET?,infrastructure
Please Can I apply for placement?,placement
Kindly Can I apply for ac room?,hostel
I want to know Provide some information on Computer Science Engineering,cse_courses
Is Machine Learning available at NIET?,ai_courses
Duration of AI and ML course?,ai_courses
Can you please Provide some information on mess,hostel
I want to know Hostel fees for MBA fees students?,fees
Can you please Placement details for Mechanical branch,mechanical_courses
Kindly Tell me about MBA fees facility,fees
Kindly Tell me about hostel fees,hostel
What courses are offered in Mechanical Engineering?,mechanical_courses
Kindly Give me information about library at NIET,infrastructure
Kindly Hostel fees for hostel facilities students?,hostel
Kindly How is the gym at NIET?,infrastructure
I want to know Duration of placement course?,placement
Please What is the syllabus for JEE admission?,admissions
Please Tell me about ac room,hostel
I want to know Give details about girls hostel,hostel
Please Eligibility for wifi?,infrastructure
Can you please Fees for medical facilities program?,infrastructure
Please Placement details for Mechanical branch,mechanical_courses
Can you explain about medical facilities?,infrastructure
Give me details of Mechanical branch,mechanical_courses
Please Hostel fees for hostel students?,hostel
I want to know Fees for hostel program?,hostel
I want to know Eligibility for MBA fees?,fees
Kindly What is the syllabus for Mechanical course?,mechanical_courses
Please Duration of AI and ML course?,ai_courses
Can you explain about canteen?,infrastructure
Can you please Can you explain about Civil department?,civil_courses
Kindly Does NIET offer highest package?,placement
Kindly Career opportunities in placement training,placement
Please Career opportunities in Civil branch,civil_courses
Please Can you explain about hostel facilities?,hostel
Please Is ac room available on campus?,hostel
Can you please Does NIET offer hostel facilities?,hostel
Kindly How is M.Tech fees at NIET?,fees
Provide some information on admission process,admissions
Please Provide some information on highest package,placement
I want to know Career opportunities in boys hostel,hostel
Kindly Give me details of tuition fee,fees
Kindly Can you explain about admission?,admissions
Kindly What labs are available for Computer Science Engineering students?,cse_courses
Can you please How is mess at NIET?,hostel
Kindly What courses are offered in CSE?,cse_courses
Kindly What labs are available for hostel students?,hostel
I want to know Hostel fees for sports facilities students?,infrastructure
I want to know Tell me about admission date,admissions
Please How is MCA fees at NIET?,fees
Kindly What services are included in B.Tech fees?,fees
Please Duration of Artificial Intelligence course?,ai_courses
Can you please Duration of companies course?,placement
Can you please Hostel fees for campus students?,infrastructure
I want to know Does NIET offer Artificial Intelligence?,ai_courses
Placement details for library,infrastructure
I want to know What labs are available for admission form students?,admissions
Kindly Does NIET offer Machine Learning?,ai_courses
Provide some information on medical facilities,infrastructure
Kindly Give me information about wifi at NIET,infrastructure
Please What labs are available for Electrical branch students?,electrical_courses
Please Fees for Mechanical Engineering program?,mechanical_courses
Please What courses are offered in placement training?,placement
Can you explain about sports facilities?,infrastructure
I want to know Eligibility for campus?,infrastructure
Can you please Give details about CS branch,cse_courses
Does NIET have canteen?,infrastructure
I want to know Is MBA fees free for students?,fees
Please What is the syllabus for Mechanical branch?,mechanical_courses
Can you please How is highest package at NIET?,placement
Duration of CS branch course?,cse_courses
I want to know Is library available on campus?,infrastructure
Kindly Can I apply for Electrical branch?,electrical_courses
I want to know Does NIET offer direct admission?,admissions
I want to know Provide some information on placement,placement
What is boys hostel?,hostel
What is the syllabus for internship?,placement
Please Hostel fees for direct admission students?,admissions
Tell me about girls hostel facility,hostel
Please Fees for Mechanical branch program?,mechanical_courses
Eligibility for Electrical Engineering?,electrical_courses
Tell me about average package,placement
Can you please Placement details for Mechanical Engineering,mechanical_courses
I want to know Is admission form available at NIET?,admissions
Can you please Does NIET offer B.Tech fees?,fees
Can you please How is the girls hostel at NIET?,hostel
What are the subjects in Machine Learning?,ai_courses
Can you please What labs are available for AI program students?,ai_courses
Can you please Tell me about average package,placement
Hostel fees for placement students?,placement
Kindly Placement details for hostel,hostel
Can you please What is sports facilities?,infrastructure
I want to know What courses are offered in highest package?,placement
I want to know Give details about Electrical branch,electrical_courses
Kindly Fees for admission process program?,admissions
Can you please What labs are available for M.Tech fees students?,fees
Kindly Give me details of AI program,ai_courses
What is the syllabus for gym?,infrastructure
Please Hostel fees for companies students?,placement
Can you please What courses are offered in placement training?,placement
Can you please How is college fees at NIET?,fees
I want to know What labs are available for placement students?,placement
Can you please Is placement training available at NIET?,placement
I want to know Placement details for installment payment,fees
Can you please Does NIET offer admission?,admissions
I want to know Give details about average package,placement
Can you please What courses are offered in placement?,placement
Is installment payment available on campus?,fees
Kindly What is Mechanical Engineering?,mechanical_courses
Kindly Career opportunities in MBA fees,fees
Can you please Can I apply for B.Tech fees?,fees
Can you explain about highest package?,placement
Kindly Tell me about direct admission,admissions
Please Give details about Electrical department,electrical_courses
Can you please Career opportunities in M.Tech fees,fees
Please Provide some information on Electrical course,electrical_courses
What is CSE?,cse_courses
Please What is the syllabus for admission date?,admissions
Can you please What is the syllabus for MCA fees?,fees
Kindly Hostel fees for Computer Science Engineering students?,cse_courses
I want to know Provide some information on M.Tech fees,fees
Give details about placement,placement
Can you please Is Mechanical Engineering available at NIET?,mechanical_courses
Kindly Is MBA fees available at NIET?,fees
I want to know Placement details for AI and ML,ai_courses
Please Career opportunities in hostel fees,hostel
I want to know Duration of internship course?,placement
Kindly Does NIET offer internship?,placement
Please Hostel fees for Civil Engineering students?,civil_courses
Can you please What courses are offered in campus?,infrastructure
Can you please What labs are available for mess students?,hostel
How is Mechanical department at NIET?,mechanical_courses
Can you please What is CS branch?,cse_courses
Kindly Tell me about Civil course,civil_courses
Fees for sports facilities program?,infrastructure
Does hostel provide hostel?,hostel
Kindly Fees for installment payment program?,fees
Kindly Hostel fees for Civil branch students?,civil_courses
What is the syllabus for MCA fees?,fees
I want to know Can I apply for admission form?,admissions
Can you please Does NIET offer Civil department?,civil_courses
Please What labs are available for highest package students?,placement
Eligibility for Mechanical branch?,mechanical_courses
What courses are offered in internship?,placement
Kindly Does NIET have gym?,infrastructure
I want to know Is B.Tech fees available at NIET?,fees
I want to know Is girls hostel available at NIET?,hostel
Kindly Provide some information on wifi,infrastructure
I want to know Can you explain about Electrical course?,electrical_courses
Can you please Give me information about hostel at NIET,hostel
Can you please Placement details for admission process,admissions
Can you please What courses are offered in girls hostel?,hostel
Provide some information on Computer Science,cse_courses
Kindly Duration of hostel facilities course?,hostel
Please Can you explain about admission form?,admissions
Please What labs are available for boys hostel students?,hostel
Can you please Can you explain about Civil Engineering?,civil_courses
I want to know Does hostel provide campus?,infrastructure
Can you please What are the subjects in hostel facilities?,hostel
Please What are the subjects in college fees?,fees
What is Civil Engineering?,civil_courses
I want to know Hostel fees for boys hostel students?,hostel
Please Fees for AI and ML program?,ai_courses
Kindly Give me details of placement,placement
What labs are available for M.Tech fees students?,fees
I want to know What is highest package?,placement
I want to know Does NIET have medical facilities?,infrastructure
Please Is Civil branch available at NIET?,civil_courses
I want to know Placement details for Artificial Intelligence,ai_courses
I want to know Give me details of sports facilities,infrastructure
Kindly Fees for hostel fees program?,hostel
Please Is Data Science available at NIET?,ai_courses
Kindly Give details about Computer Science,cse_courses
Please What courses are offered in MBA fees?,fees
Please How is AI program at NIET?,ai_courses
I want to know Does hostel provide boys hostel?,hostel
Kindly Duration of Computer Science Engineering course?,cse_courses
Can you please What labs are available for Electrical department students?,electrical_courses
I want to know Give details about highest package,placement
Can you please Fees for MBA fees program?,fees
Can you please Eligibility for average package?,placement
I want to know Provide some information on Civil department,civil_courses
Please What is the syllabus for M.Tech fees?,fees
Can you please How is the boys hostel at NIET?,hostel
Please What are the subjects in CS branch?,cse_courses
Can you please Eligibility for canteen?,infrastructure
Kindly What is the syllabus for Electrical branch?,electrical_courses
I want to know Hostel fees for companies students?,placement
What labs are available for Civil Engineering students?,civil_courses
Does hostel provide mess?,hostel
Can you please Give me details of Electrical department,electrical_courses
Fees for girls hostel program?,hostel
Kindly What labs are available for medical facilities students?,infrastructure
Can you please Eligibility for M.Tech fees?,fees
I want to know Career opportunities in Computer Science Engineering,cse_courses
Please What labs are available for Machine Learning students?,ai_courses
Kindly Give me details of Electrical Engineering,electrical_courses
Does NIET offer gym?,infrastructure
Kindly Give me details of placement training,placement
Career opportunities in mess,hostel
Can you please Is wifi available on campus?,infrastructure
Kindly What labs are available for admission date students?,admissions
Tell me about canteen,infrastructure
Can you please How is the wifi at NIET?,hostel
Please Can I apply for gym?,infrastructure
What is Mechanical course?,mechanical_courses
Fees for CS branch program?,cse_courses
Can you please Hostel fees for AI and ML students?,ai_courses
Kindly Career opportunities in boys hostel,hostel
Kindly What courses are offered in Civil branch?,civil_courses
Kindly Hostel fees for admission students?,admissions
I want to know Give details about admission date,admissions
I want to know Duration of Electrical department course?,electrical_courses
Please What are the subjects in hostel facilities?,hostel
Can you please Duration of MCA fees course?,fees
Kindly Does NIET have hostel fees?,hostel
I want to know Give details about hostel facilities,hostel
I want to know What courses are offered in average package?,placement
Can you please Tell me about MCA fees,fees
Fees for campus program?,infrastructure
Can you please Eligibility for college fees?,fees
Please Give me details of sports facilities,infrastructure
Kindly What labs are available for MBA fees students?,fees
Please Give details about hostel fees,hostel
Kindly What courses are offered in highest package?,placement
Please Does NIET offer Mechanical Engineering?,mechanical_courses
Give me information about MCA fees at NIET,fees
Can you please How is girls hostel at NIET?,hostel
Please Duration of campus course?,infrastructure
Please Provide some information on placement training,placement
Kindly Provide some information on JEE admission,admissions
Can you please Does hostel provide wifi?,infrastructure
Can you please What services are included in MCA fees?,fees
Please Is CS branch available at NIET?,cse_courses
Can you please Duration of average package course?,placement
Does NIET offer placement training?,placement
Can you please Tell me about B.Tech fees,fees
I want to know Does NIET offer boys hostel?,hostel
Can you please What are the subjects in hostel fees?,hostel
Can you please Duration of library course?,infrastructure
Can you please Does NIET offer college fees?,fees
Kindly Is internship available at NIET?,placement
Please What is the syllabus for medical facilities?,infrastructure
Can you please Hostel fees for girls hostel students?,hostel
I want to know What is Data Science?,ai_courses
Please Does NIET offer sports facilities?,infrastructure
I want to know Hostel fees for B.Tech fees students?,fees
Please What are the subjects in canteen?,infrastructure
Can you please Is MBA fees available on campus?,fees
Can you please Career opportunities in gym,infrastructure
Can you please Hostel fees for AI program students?,ai_courses
Kindly What are the features of M.Tech fees?,fees
Is gym available at NIET?,infrastructure
Kindly Duration of wifi course?,hostel
Can you please Provide some information on tuition fee,fees
Please How is the campus at NIET?,infrastructure
Does hostel provide MCA fees?,fees
I want to know What are the subjects in sports facilities?,infrastructure
Please Does NIET have hostel fees?,hostel
Tell me about admission date,admissions
Can you please Can you explain about wifi?,infrastructure
Please Placement details for Electrical course,electrical_courses
Provide some information on admission form,admissions
Kindly Fees for AI program program?,ai_courses
Please Give details about girls hostel,hostel
Can you please Hostel fees for Machine Learning students?,ai_courses
Please What services are included in hostel?,hostel
What courses are offered in mess?,hostel
Is MCA fees free for students?,fees
Kindly Is Civil department available at NIET?,civil_courses
Please Does NIET have girls hostel?,hostel
Kindly Duration of Electrical course course?,electrical_courses
Please Fees for college fees program?,fees
Can you please Eligibility for CSE?,cse_courses
Can you please Give me details of placement,placement
Is medical facilities available at NIET?,infrastructure
Can you please Tell me about Electrical department,electrical_courses
Tell me about tuition fee facility,fees
Kindly Career opportunities in Mechanical Engineering,mechanical_courses
Please Is MBA fees available at NIET?,fees
Can you please Can I apply for admission process?,admissions
Kindly Can I apply for Mechanical Engineering?,mechanical_courses
Can you please Is AI program available at NIET?,ai_courses
I want to know How is ac room at NIET?,hostel
Duration of tuition fee course?,fees
I want to know Give me details of B.Tech fees,fees
Kindly Give me details of Mechanical branch,mechanical_courses
Can you please Is canteen available on campus?,infrastructure
I want to know What is the syllabus for Civil department?,civil_courses
Please What are the features of campus?,infrastructure
Kindly Can I apply for AI and ML?,ai_courses
Career opportunities in AI and ML,ai_courses
Can you please Give details about CSE,cse_courses
Kindly Does NIET have mess?,hostel
I want to know What is the syllabus for direct admission?,admissions
I want to know Hostel fees for placement training students?,placement
Kindly What is mess?,hostel
I want to know Can I apply for gym?,infrastructure
Kindly Tell me about AI and ML,ai_courses
Can you please What are the subjects in library?,infrastructure
Please Tell me about companies,placement
I want to know Is hostel facilities available at NIET?,hostel
I want to know Can I apply for CS branch?,cse_courses
Can you please Provide some information on sports facilities,infrastructure
I want to know How is Computer Science Engineering at NIET?,cse_courses
I want to know Tell me about hostel facilities facility,hostel
Kindly Eligibility for Electrical course?,electrical_courses
I want to know Duration of tuition fee course?,fees
Kindly What labs are available for Civil branch students?,civil_courses
Can you please Give me details of hostel facilities,hostel
Kindly What is the syllabus for MCA fees?,fees
Eligibility for MCA fees?,fees
Please What courses are offered in installment payment?,fees
I want to know Give me details of MCA fees,fees
I want to know Hostel fees for CSE students?,cse_courses
Can you explain about hostel facilities?,hostel
Can you please What courses are offered in MCA fees?,fees
Please Tell me about highest package,placement
I want to know Provide some information on admission,admissions
Kindly Fees for Mechanical course program?,mechanical_courses
Kindly Does NIET offer companies?,placement
Can you please Hostel fees for admission date students?,admissions
I want to know Duration of Civil department course?,civil_courses
Can you please How is admission form at NIET?,admissions
Please Fees for Mechanical department program?,mechanical_courses
Is library available on campus?,infrastructure
What labs are available for placement training students?,placement
Please Does NIET have M.Tech fees?,fees
Please Can I apply for boys hostel?,hostel
Can you please What courses are offered in Mechanical course?,mechanical_courses
I want to know What is the syllabus for Electrical Engineering?,electrical_courses
Please Fees for girls hostel program?,hostel
Can you please What are the subjects in sports facilities?,infrastructure
Can you please How is CSE at NIET?,cse_courses
Please How is campus at NIET?,infrastructure
I want to know What is girls hostel?,hostel
Kindly How is campus at NIET?,infrastructure
Kindly Give me details of gym,infrastructure
Please What is internship?,placement
Kindly What labs are available for Electrical department students?,electrical_courses
Please What is hostel fees?,hostel
I want to know Is JEE admission available at NIET?,admissions
Tell me about M.Tech fees facility,fees
Can you please Career opportunities in Electrical Engineering,electrical_courses
Please Career opportunities in Mechanical Engineering,mechanical_courses
Please Tell me about boys hostel facility,hostel
What is the syllabus for Mechanical course?,mechanical_courses
Kindly How is Computer Science Engineering at NIET?,cse_courses
Kindly Tell me about college fees facility,fees
What is MCA fees?,fees
Give details about boys hostel,hostel
I want to know Hostel fees for installment payment students?,fees
Provide some information on placement,placement
Kindly How is the wifi at NIET?,hostel
I want to know Tell me about admission form,admissions
I want to know Hostel fees for M.Tech fees students?,fees
Does NIET offer installment payment?,fees
Kindly Hostel fees for admission process students?,admissions
Please Tell me about Civil branch,civil_courses
Is M.Tech fees available at NIET?,fees
What labs are available for hostel students?,hostel
Can you please Duration of placement training course?,placement
I want to know Fees for MBA fees program?,fees
Please What labs are available for Electrical course students?,electrical_courses
Please Give details about college fees,fees
Please Eligibility for tuition fee?,fees
Please Does NIET have hostel?,hostel
I want to know What is the syllabus for ac room?,hostel
Duration of Civil course course?,civil_courses
Please Fees for direct admission program?,admissions
Career opportunities in Civil department,civil_courses
Placement details for Civil course,civil_courses
I want to know How is average package at NIET?,placement
Can you please How is Data Science at NIET?,ai_courses
Can you please Does NIET offer Electrical course?,electrical_courses
Kindly Eligibility for Mechanical course?,mechanical_courses
Eligibility for hostel fees?,hostel
Kindly What are the features of wifi?,infrastructure
Please What courses are offered in Electrical course?,electrical_courses
Can you please Does NIET offer gym?,infrastructure
Is college fees available at NIET?,fees
Hostel fees for Electrical branch students?,electrical_courses
What labs are available for installment payment students?,fees
How is admission form at NIET?,admissions
Tell me about Civil Engineering,civil_courses
Can you please Is Civil branch available at NIET?,civil_courses
Please What labs are available for hostel students?,hostel
Can I apply for ac room?,hostel
Can you please Duration of tuition fee course?,fees
Can you please Career opportunities in admission form,admissions
I want to know Does hostel provide hostel?,hostel
I want to know Duration of direct admission course?,admissions
Can you please Can I apply for placement?,placement
Please Is MCA fees free for students?,fees
Can you please Tell me about Civil Engineering,civil_courses
Please Placement details for sports facilities,infrastructure
Kindly Provide some information on gym,infrastructure
Does NIET have installment payment?,fees
Give me details of Civil course,civil_courses
Can you please Does NIET offer MBA fees?,fees
Can you please Hostel fees for medical facilities students?,infrastructure
Can you please Can I apply for Computer Science Engineering?,cse_courses
I want to know Give me details of highest package,placement
I want to know What is library?,infrastructure
Can you please Give me details of admission date,admissions
Please Fees for Machine Learning program?,ai_courses
Please Does NIET offer girls hostel?,hostel
Give details about admission date,admissions
Provide some information on M.Tech fees,fees
Kindly Give details about Civil department,civil_courses
I want to know Fees for ac room program?,hostel
Please What are the subjects in hostel fees?,hostel
Can you please Tell me about Mechanical department,mechanical_courses
Please Is placement available at NIET?,placement
I want to know Eligibility for boys hostel?,hostel
I want to know Does NIET offer Electrical branch?,electrical_courses
Can you please What labs are available for gym students?,infrastructure
Please Can you explain about Machine Learning?,ai_courses
How is the tuition fee at NIET?,fees
Kindly Give details about MCA fees,fees
Give me details of college fees,fees
What are the subjects in average package?,placement
Please Is gym free for students?,infrastructure
How is Electrical course at NIET?,electrical_courses
Please What is the syllabus for Computer Science Engineering?,cse_courses
I want to know What is Mechanical branch?,mechanical_courses
What are the subjects in hostel fees?,hostel
I want to know Does NIET offer Machine Learning?,ai_courses
I want to know Can you explain about Mechanical Engineering?,mechanical_courses
What courses are offered in canteen?,infrastructure
Kindly Provide some information on tuition fee,fees
I want to know What is hostel facilities?,hostel
I want to know Duration of canteen course?,infrastructure
I want to know Is girls hostel free for students?,hostel
Please Is Electrical department available at NIET?,electrical_courses
Please Placement details for Electrical branch,electrical_courses
How is mess at NIET?,hostel
Can you please Can I apply for wifi?,infrastructure
Can you please Is hostel facilities free for students?,hostel
Please Can I apply for hostel fees?,hostel
Can you please Can you explain about Electrical branch?,electrical_courses
Can you please What is M.Tech fees?,fees
I want to know Give me details of Artificial Intelligence,ai_courses
Give details about hostel,hostel
Career opportunities in Mechanical Engineering,mechanical_courses
Hostel fees for Civil course students?,civil_courses
Can you please Is Computer Science Engineering available at NIET?,cse_courses
Does NIET offer hostel facilities?,hostel
Please Provide some information on hostel fees,hostel
How is the wifi at NIET?,hostel
Kindly Does NIET offer Artificial Intelligence?,ai_courses
Please Tell me about Electrical course,electrical_courses
Provide some information on admission,admissions
Kindly Career opportunities in hostel,hostel
Is wifi available at NIET?,infrastructure
Please How is the installment payment at NIET?,fees
I want to know How is campus at NIET?,infrastructure
I want to know Does NIET offer JEE admission?,admissions
Please Is gym available at NIET?,infrastructure
Can you please What is Artificial Intelligence?,ai_courses
Kindly Can you explain about MCA fees?,fees
Please Hostel fees for Civil course students?,civil_courses
Kindly How is sports facilities at NIET?,infrastructure
Please Give me information about hostel fees at NIET,hostel
Kindly Duration of internship course?,placement
Can you please Is sports facilities available on campus?,infrastructure
Kindly How is the library at NIET?,infrastructure
Kindly What is MBA fees?,fees
How is the mess at NIET?,hostel
Can you please Fees for Mechanical Engineering program?,mechanical_courses
Please Give me information about hostel facilities at NIET,hostel
Give details about Artificial Intelligence,ai_courses
What labs are available for Civil course students?,civil_courses
Can you please What courses are offered in Computer Science Engineering?,cse_courses
Can you please Is college fees available on campus?,fees
Please What is the syllabus for CS branch?,cse_courses
I want to know Can I apply for sports facilities?,infrastructure
Kindly What is Electrical course?,electrical_courses
I want to know Is hostel free for students?,hostel
I want to know How is the M.Tech fees at NIET?,fees
Please What are the subjects in AI and ML?,ai_courses
I want to know What is Computer Science Engineering?,cse_courses
Kindly Does NIET offer M.Tech fees?,fees
Is sports facilities free for students?,infrastructure
Kindly Career opportunities in girls hostel,hostel
Please Tell me about library facility,infrastructure
Can you please Eligibility for Mechanical Engineering?,mechanical_courses
Kindly How is Electrical branch at NIET?,electrical_courses
Can you please What are the subjects in ac room?,hostel
Can you please Placement details for Civil branch,civil_courses
Eligibility for placement training?,placement
Career opportunities in M.Tech fees,fees
Kindly What courses are offered in girls hostel?,hostel
Please Fees for placement training program?,placement
Please Does NIET have sports facilities?,infrastructure
Please How is Electrical Engineering at NIET?,electrical_courses
Please Give me details of CSE,cse_courses
Kindly What is Computer Science?,cse_courses
I want to know Can I apply for Civil course?,civil_courses
Kindly Can I apply for direct admission?,admissions
I want to know Provide some information on MCA fees,fees
Please Fees for Electrical branch program?,electrical_courses
Career opportunities in girls hostel,hostel
Kindly How is the MCA fees at NIET?,fees
Kindly What are the subjects in gym?,infrastructure
I want to know What courses are offered in Computer Science Engineering?,cse_courses
Please Duration of medical facilities course?,infrastructure
I want to know What is the syllabus for CSE?,cse_courses
Hostel fees for girls hostel students?,hostel
Can you please Hostel fees for Mechanical course students?,mechanical_courses
I want to know Can I apply for installment payment?,fees
Give me details of sports facilities,infrastructure
I want to know Give me details of Civil branch,civil_courses
Please Provide some information on internship,placement
Kindly Is boys hostel available on campus?,hostel
Can you please Eligibility for tuition fee?,fees
Please Can I apply for girls hostel?,hostel
Can you please Does NIET have campus?,infrastructure
Please Give me information about medical facilities at NIET,infrastructure
I want to know Does NIET offer CS branch?,cse_courses
Can you please Tell me about placement training,placement
I want to know What services are included in library?,infrastructure
I want to know Tell me about placement training,placement
Can you please Hostel fees for placement students?,placement
Kindly Hostel fees for mess students?,hostel
Kindly What are the subjects in MBA fees?,fees
Can you please Can I apply for wifi?,hostel
Please Fees for CS branch program?,cse_courses
Can I apply for AI and ML?,ai_courses
I want to know Can you explain about hostel facilities?,hostel
Eligibility for Civil department?,civil_courses
Can you please What is the syllabus for CSE?,cse_courses
I want to know Provide some information on Electrical course,electrical_courses
I want to know Hostel fees for placement students?,placement
Kindly Fees for Machine Learning program?,ai_courses
Kindly Placement details for average package,placement
I want to know Can I apply for Mechanical branch?,mechanical_courses
Kindly Give me details of Civil Engineering,civil_courses
Please What are the subjects in CSE?,cse_courses
I want to know Give me information about sports facilities at NIET,infrastructure
I want to know What is the syllabus for companies?,placement
Can you please Tell me about canteen facility,infrastructure
Can you please Can you explain about Electrical department?,electrical_courses
Kindly Placement details for Mechanical department,mechanical_courses
Kindly What is Computer Science Engineering?,cse_courses
Is Electrical Engineering available at NIET?,electrical_courses
I want to know What is admission process?,admissions
I want to know Hostel fees for Artificial Intelligence students?,ai_courses
Kindly What are the subjects in wifi?,infrastructure
Please Placement details for placement training,placement
What courses are offered in placement training?,placement
Kindly What are the features of tuition fee?,fees
Please Can I apply for AI and ML?,ai_courses
I want to know What courses are offered in MCA fees?,fees
What are the subjects in MCA fees?,fees
Can you please Does hostel provide installment payment?,fees
Kindly Placement details for hostel facilities,hostel
Kindly Placement details for Artificial Intelligence,ai_courses
Career opportunities in Computer Science Engineering,cse_courses
Kindly What services are included in tuition fee?,fees
I want to know What is the syllabus for CS branch?,cse_courses
Please Does NIET offer wifi?,hostel
I want to know Career opportunities in MCA fees,fees
Fees for MCA fees program?,fees
Please Does hostel provide ac room?,hostel
Kindly Hostel fees for hostel fees students?,hostel
Can you please Hostel fees for admission process students?,admissions
Can you please Duration of ac room course?,hostel
Please Provide some information on MCA fees,fees
Can you please What labs are available for campus students?,infrastructure
Kindly Give me details of medical facilities,infrastructure
I want to know Give details about Mechanical department,mechanical_courses
I want to know Tell me about M.Tech fees,fees
Please Can I apply for hostel?,hostel
Kindly What is college fees?,fees
Can you please What courses are offered in hostel facilities?,hostel
I want to know What labs are available for Computer Science students?,cse_courses
I want to know Is college fees available on campus?,fees
Can you please What is internship?,placement
Kindly Is M.Tech fees available on campus?,fees
Tell me about wifi,hostel
Kindly Fees for Civil department program?,civil_courses
Please Is girls hostel free for students?,hostel
I want to know Does hostel provide MBA fees?,fees
Kindly What labs are available for Electrical branch students?,electrical_courses
Kindly What are the subjects in Mechanical department?,mechanical_courses
Please Can I apply for CS branch?,cse_courses
Can you please Hostel fees for companies students?,placement
Please Can I apply for MBA fees?,fees
How is installment payment at NIET?,fees
I want to know Placement details for MCA fees,fees
Please Is MBA fees available on campus?,fees
Does hostel provide MBA fees?,fees
Kindly Can you explain about gym?,infrastructure
I want to know Eligibility for Data Science?,ai_courses
Does NIET offer direct admission?,admissions
Please What are the subjects in companies?,placement
I want to know Fees for hostel fees program?,hostel
I want to know Is canteen available at NIET?,infrastructure
I want to know Duration of admission course?,admissions
Can I apply for B.Tech fees?,fees
Please What is AI program?,ai_courses
What labs are available for sports facilities students?,infrastructure
Can you please Duration of gym course?,infrastructure
Please Provide some information on Computer Science Engineering,cse_courses
Kindly What are the subjects in highest package?,placement
Please What is the syllabus for canteen?,infrastructure
Kindly Placement details for M.Tech fees,fees
Is Civil branch available at NIET?,civil_courses
Placement details for admission date,admissions
Can you please What is placement training?,placement
Kindly Does hostel provide M.Tech fees?,fees
Can you please Hostel fees for Data Science students?,ai_courses
Please Eligibility for hostel facilities?,hostel
Can you please Does NIET offer boys hostel?,hostel
Kindly What labs are available for internship students?,placement
I want to know What courses are offered in admission form?,admissions
Can you please What is Civil Engineering?,civil_courses
Can you please Career opportunities in hostel fees,hostel
I want to know Tell me about Electrical department,electrical_courses
Can you please Does NIET offer Civil branch?,civil_courses
I want to know Can you explain about Electrical Engineering?,electrical_courses
Can you please Can you explain about admission form?,admissions
Kindly Can I apply for campus?,infrastructure
Kindly Can I apply for M.Tech fees?,fees
Give details about admission,admissions
Please What is the syllabus for direct admission?,admissions
I want to know Is average package available at NIET?,placement
Can you please How is the installment payment at NIET?,fees
Can you please Fees for B.Tech fees program?,fees
Please What is Electrical course?,electrical_courses
Can you please Does hostel provide boys hostel?,hostel
Kindly Tell me about hostel,hostel
Kindly Does NIET offer Computer Science Engineering?,cse_courses
Please What are the subjects in hostel?,hostel
I want to know Can I apply for Electrical department?,electrical_courses
I want to know How is CS branch at NIET?,cse_courses
Please Fees for canteen program?,infrastructure
Eligibility for Civil course?,civil_courses
I want to know Tell me about library facility,infrastructure
Kindly Career opportunities in hostel fees,hostel
Can you please Eligibility for companies?,placement
I want to know What labs are available for Electrical department students?,electrical_courses
Kindly Give details about internship,placement
Please Can I apply for Electrical branch?,electrical_courses
I want to know What are the features of mess?,hostel
I want to know Duration of companies course?,placement
I want to know Tell me about Machine Learning,ai_courses
Eligibility for admission process?,admissions
Tell me about hostel facilities facility,hostel
Please What courses are offered in Civil department?,civil_courses
Please Is Computer Science Engineering available at NIET?,cse_courses
Kindly What is admission process?,admissions
Kindly Can you explain about direct admission?,admissions
Please Can I apply for canteen?,infrastructure
Kindly Eligibility for Machine Learning?,ai_courses
Can you please Provide some information on average package,placement
Career opportunities in MCA fees,fees
I want to know Give details about installment payment,fees
Kindly Give me details of boys hostel,hostel
Please Does NIET offer wifi?,infrastructure
I want to know Give me details of Mechanical Engineering,mechanical_courses
Can you please Career opportunities in CSE,cse_courses
Please How is library at NIET?,infrastructure
What courses are offered in B.Tech fees?,fees
Can you please What are the features of hostel?,hostel
Please Career opportunities in admission,admissions
I want to know What services are included in mess?,hostel
Can you explain about placement training?,placement
Please Tell me about AI program,ai_courses
Kindly What are the subjects in Electrical course?,electrical_courses
Give details about wifi,hostel
Please Is AI and ML available at NIET?,ai_courses
Can you please Provide some information on MCA fees,fees
What is internship?,placement
Duration of Data Science course?,ai_courses
Please Give me information about wifi at NIET,infrastructure
Kindly What is Mechanical course?,mechanical_courses
